image,mask,set
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_393_231_20160805_587677_201274-118305.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_393_231_20160805_587677_201274-118305.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_225_20160805_587657_200973-115247.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_225_20160805_587657_200973-115247.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_227_20160805_587659_201035-116464.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_227_20160805_587659_201035-116464.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_232_20160805_587664_200746-119180.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_232_20160805_587664_200746-119180.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_232_20160805_587664_200905-118889.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_232_20160805_587664_200905-118889.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_230_20160805_587662_200924-118163.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_230_20160805_587662_200924-118163.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_391_232_20160805_587651_200338-118932.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_391_232_20160805_587651_200338-118932.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_302_294_20170129_633919_155035-150794.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_302_294_20170129_633919_155035-150794.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_391_232_20160805_587651_200544-118903.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_391_232_20160805_587651_200544-118903.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_232_20160805_587664_201085-118800.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_232_20160805_587664_201085-118800.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_391_232_20160805_587651_200403-118878.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_391_232_20160805_587651_200403-118878.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_392_231_20160805_587663_201089-118555.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_392_231_20160805_587663_201089-118555.png,val
/home/ubuntu/data/trdata/samaww_20k/validation/buildings/3857_9_302_293_20170129_633917_154870-150260.png,/home/ubuntu/data/trdata/samaww_20k/validation/masks/3857_9_302_293_20170129_633917_154870-150260.png,val
